Course Id;Course Name;Provider;Institutions;Parent.Subject;Child.Subject;Url;Date;Length;;
425;Cryptography II;Coursera;Stanford University;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/crypto2;2015-06-01;6;;
426;Algorithms: Design and Analysis, Part 2;Coursera;Stanford University;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/algo2;2015-03-16;6;;
427;Heterogeneous Parallel Programming;Coursera;University of Illinois at Urbana-Champaign;Computer Science;Theoretical Computer Science;https://www.coursera.org/course/hetero;2015-01-12;9;;
428;VLSI CAD: Logic to Layout;Coursera;University of Illinois at Urbana-Champaign;Programming;NA;https://www.coursera.org/course/vlsicad;2015-02-02;10;;
429;Creative, Serious and Playful Science of Android Apps;Coursera;University of Illinois at Urbana-Champaign;Programming;Mobile Development;https://www.coursera.org/course/androidapps101;2014-10-20;8;;
430;The Modern World: Global History since 1760;Coursera;University of Virginia;Humanities;History;https://www.coursera.org/course/modernworld;2014-01-14;NA;;
431;How Things Work;Coursera;University of Virginia;Science;Physics;https://www.coursera.org/learn/how-things-work;Self paced;6;;
432;Know Thyself;Coursera;University of Virginia;Humanities;Philosophy;https://www.coursera.org/course/knowthyself;2013-03-04;10;;
433;Grow to Greatness: Smart Growth for Private Businesses, Part I;Coursera;University of Virginia;Business & Management;Entrepreneurship;https://www.coursera.org/learn/business-growth-strategy;Self paced;NA;;
434;Introduction to Sustainability;Coursera;University of Illinois at Urbana-Champaign;Science;Environmental Science;https://www.coursera.org/course/sustain;2015-01-19;8;;
435;Planet Earth...and You!;Coursera;University of Illinois at Urbana-Champaign;Science;Environmental Science;https://www.coursera.org/course/earth;2015-02-23;5;;
436;Microeconomics Principles;Coursera;University of Illinois at Urbana-Champaign;Social Sciences;Economics;https://www.coursera.org/course/microecon;2014-12-22;15;;
437;Introductory Organic Chemistry - Part 1;Coursera;University of Illinois at Urbana-Champaign;Science;Chemistry;https://www.coursera.org/course/orgchem1a;2013-01-28;NA;;
438;Introductory Organic Chemistry - Part 2;Coursera;University of Illinois at Urbana-Champaign;Science;Chemistry;https://www.coursera.org/course/orgchem1b;NA;NA;;
439;Intermediate Organic Chemistry - Part 1;Coursera;University of Illinois at Urbana-Champaign;Science;Chemistry;https://www.coursera.org/course/orgchem2a;2013-03-04;NA;;
440;Intermediate Organic Chemistry - Part 2;Coursera;University of Illinois at Urbana-Champaign;Science;Chemistry;https://www.coursera.org/course/orgchem2b;NA;NA;;
441;Introduction à la programmation orientée objet (en Java);Coursera;École Polytechnique Fédérale de Lausanne;Programming;NA;https://www.coursera.org/course/intropoojava;2014-10-24;7;;
442;CS50x: Introduction to Computer Science;edX;Harvard University;Computer Science;NA;https://www.edx.org/course/introduction-computer-science-harvardx-cs50x;Self paced;NA;;
443;CS169.1x: Engineering Software as a Service;edX;University of California, Berkeley;Programming;Web Development;https://www.edx.org/course/engineering-software-service-uc-berkeleyx-cs169-1x;2014-10-21;9;;
444;6.002x: Circuits and Electronics;edX;Massachusetts Institute of Technology;Engineering;Electrical Engineering;https://www.edx.org/course/circuits-electronics-mitx-6-002x-0;2015-01-20;16;;
445;CS188.1x: Artificial Intelligence;edX;University of California, Berkeley;Computer Science;Artificial Intelligence;https://www.edx.org/course/artificial-intelligence-uc-berkeleyx-cs188-1x-0;2015-02-06;12;;
446;6.00x: Introduction to Computer Science and Programming;edX;Massachusetts Institute of Technology;Computer Science;NA;https://www.edx.org/course/mitx/mitx-6-00x-introduction-computer-science-586;2013-02-04;8;;
447;3.091x: Introduction to Solid State Chemistry;edX;Massachusetts Institute of Technology;Science;Chemistry;https://www.edx.org/course/introduction-solid-state-chemistry-mitx-3-091x-0;2015-02-26;15;;
448;PH207x: Health in Numbers: Quantitative Methods in Clinical & Public Health Research;edX;Harvard University;Health & Medicine;Public & Global Health;https://www.edx.org/course/health-numbers-quantitative-methods-harvardx-ph207x;2012-10-15;13;;
449;Computational Neuroscience;Coursera;University of Washington;Computer Science;Artificial Intelligence;https://www.coursera.org/course/compneuro;2015-05-01;8;;
451;Introduction to Data Science;Coursera;University of Washington;Computer Science;Data Science and Big Data;https://www.coursera.org/course/datasci;2014-06-30;8;;
452;Programming Languages;Coursera;University of Washington;Programming;NA;https://www.coursera.org/course/proglang;2014-10-02;NA;;
453;The Hardware/Software Interface;Coursera;University of Washington;Programming;NA;https://www.coursera.org/course/hwswinterface;2014-06-30;8;;
454;Web Intelligence and Big Data;Coursera;IIT (Indian Institute of Technology Delhi)|||Indraprastha Institute of Information Technology Delhi;Computer Science;Data Science and Big Data;https://www.coursera.org/course/bigdata;2014-04-20;9;;
455;Intro to Theoretical Computer Science;Udacity;NA;Computer Science;Theoretical Computer Science;https://www.udacity.com/course/intro-to-theoretical-computer-science--cs313?utm_medium=referral&utm_campaign=api;Self paced;8;;
456;Differential Equations in Action;Udacity;NA;Mathematics;Calculus & Mathematical Analysis;https://www.udacity.com/course/differential-equations-in-action--cs222?utm_medium=referral&utm_campaign=api;Self paced;8;;
457;Software Debugging;Udacity;Saarland University;Programming;NA;https://www.udacity.com/course/software-debugging--cs259?utm_medium=referral&utm_campaign=api;Self paced;8;;
458;CSCI 1730 - Introduction to Programming Languages;;Brown University;Programming;NA;http://www.cs.brown.edu/courses/cs173/2012/OnLine/;Self paced;NA;;
459;Organizational Analysis (Self-Paced);Coursera;Stanford University;Business & Management;Professional Development;https://www.coursera.org/course/organalysis;2014-09-22;10;;
460;Introduction to Computational Finance and Financial Econometrics;Coursera;University of Washington;Social Sciences;Economics;https://www.coursera.org/course/compfinance;2015-06-01;10;;
461;How to Build a Startup;Udacity;NA;Business & Management;Entrepreneurship;https://www.udacity.com/course/how-to-build-a-startup--ep245?utm_medium=referral&utm_campaign=api;Self paced;4;;
462;Image and video processing: From Mars to Hollywood with a stop at the hospital;Coursera;Duke University;Computer Science;NA;https://www.coursera.org/course/images;2015-01-05;9;;
463;Grow to Greatness: Smart Growth for Private Businesses, Part II;Coursera;University of Virginia;Business & Management;Entrepreneurship;https://www.coursera.org/learn/team-building;Self paced;NA;;
464;Writing in the Sciences;Coursera;Stanford University;Humanities;Grammar & Writing;https://www.coursera.org/course/sciwrite;2012-09-24;NA;;
465;In-Memory Data Management;openHPI;NA;Computer Science;NA;https://open.hpi.de/courses/imdb2015;2015-09-07;7;;
466;Designing A New Learning Environment;NovoED;Stanford University;Education & Teaching;Online Education;https://novoed.com/education;Self paced;9;;
467;A Crash Course on Creativity;NovoED;Stanford University;Art & Design;Design & Creativity;http://venture-lab.org/creativity;2013-04-22;7;;
468;Finance;NovoED;Stanford University;Business & Management;Finance;https://novoed.com/finance13;2013-04-29;10;;
469;Startup Boards: Advanced Entrepreneurship;NovoED;Stanford University;Business & Management;Entrepreneurship;http://venture-lab.org/advanced_venture;2012-10-14;9;;
470;Technology Entrepreneurship;NovoED;Stanford University;Business & Management;Entrepreneurship;https://novoed.com/venture1-2015-2;2015-06-16;6;;
471;An Introduction to Computer Networks;Class2Go;Stanford University;Computer Science;NA;https://class.stanford.edu/networking/Fall2012/preview/;2012-10-08;NA;;
472;Solar Cells, Fuel Cells, & Batteries;Class2Go;Stanford University;Science;Chemistry;https://class.stanford.edu/solar/Fall2012/preview/;2012-10-08;NA;;
473;Development Economics;MRUniversity;George Mason University;Social Sciences;Economics;http://marginalrevolution.com/marginalrevolution/2012/09/mrus-first-course-development-economics.html;Self paced;NA;;
474;M101: MongoDB for Developers;MongoDB University;NA;Programming;Databases;http://education.10gen.com/courses/10gen/M101/2012_Fall/about;2012-10-22;7;;
475;M102: MongoDB for DBAs;MongoDB University;NA;Programming;Databases;https://university.mongodb.com/courses/M102/about;2015-05-26;7;;
476;Health Informatics in the Cloud;Coursera;Georgia Institute of Technology;Health & Medicine;Health Care & Research;https://www.coursera.org/course/healthinformatics;2013-09-16;NA;;
477;Accountable Talk®: Conversation that Works;Coursera;University of Pittsburgh;Social Sciences;Psychology;https://www.coursera.org/course/accountabletalk;2013-09-08;NA;;
478;Nutrition and Physical Activity for Health;Coursera;University of Pittsburgh;Health & Medicine;Nutrition & Wellness;https://www.coursera.org/course/nutritionforhealth;2014-06-16;NA;;
479;A Look at Nuclear Science and Technology;Coursera;University of Pittsburgh;Science;Physics;https://www.coursera.org/course/nuclearscience;2014-03-03;NA;;
481;Disaster Preparedness;Coursera;University of Pittsburgh;Science;Environmental Science;https://www.coursera.org/course/disasterprep;2015-01-26;6;;
